time,open,high,low,close,MA,MA,MA,MA,MA,Volume,Basis,Upper,Lower,Histogram,MACD,Signal,%K,%D,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2023-07-20,25.79,26.055,23.87,24.29,16.903466666666663,15.298199999999978,26.195555555555558,18.683800000000016,21.954000000000004,67340611,24.742499999999986,28.41765373828129,21.06734626171868,-0.031977827933003855,1.2457217196169488,1.2776995475499526,34.56221198156681,70.25089605734765,49.52129782577005,59.21276390709018,NaN,NaN,NaN,NaN
2023-07-21,25.01,25.59,24.5,24.92,16.97873333333333,15.374299999999979,26.262222222222228,18.788000000000014,22.173600000000008,43146396,24.83349999999998,28.430772716934886,21.236227283065073,-0.15310501409440347,1.0863182799319482,1.2394232940263517,44.23963133640555,53.1490015360983,51.68101071047152,58.53605430258681,NaN,NaN,NaN,NaN
2023-07-24,24.91,25.4399,24.51,24.9,17.058066666666665,15.443599999999979,26.32444444444445,18.890500000000017,22.385400000000004,29911501,24.98399999999998,28.318338914988015,21.649661085011946,-0.23357510878686827,0.9474544080427663,1.1810295168296345,43.93241167434714,40.91141833077315,51.6055261416619,57.70292056784941,NaN,NaN,NaN,NaN
2023-07-25,25.31,26.5899,25.3061,26.13,17.15626666666666,15.517149999999976,26.37333333333334,19.005000000000013,22.626600000000007,39288526,25.185999999999982,28.275047749712417,22.096952250287547,-0.20403930617866228,0.9259803841063068,1.130019690284969,62.82642089093701,50.33282130056322,55.87407988412095,57.74927082623153,NaN,NaN,NaN,NaN
2023-07-26,25.2,25.73,24.21,25.06,17.249266666666664,15.586499999999978,26.126666666666672,19.105500000000013,22.847400000000007,54225476,25.22049999999998,28.287658130909456,22.153341869090504,-0.2534178338180322,0.8132473980124288,1.066665231830461,38.98601398601398,48.58161551709936,51.60948432437275,57.75812763243079,NaN,NaN,NaN,NaN
2023-07-27,27,28.05,26,26.46,17.354399999999995,15.672749999999978,26.152222222222225,19.213300000000014,23.074400000000004,83083284,25.35749999999998,28.38889489344492,22.32610510655504,-0.19146261068489,0.8273369684743486,1.0187995791592386,61.791590493601475,54.534675123517474,56.30836781032581,58.10877390074883,NaN,NaN,NaN,NaN
2023-07-28,27.99,28.44,27.15,28.15,17.47266666666666,15.772099999999977,26.162222222222226,19.343100000000014,23.33640000000001,60636025,25.57449999999998,28.74966283047096,22.399337169528998,-0.044029840107727924,0.9637622790245786,1.0077921191323065,92.40986717267549,64.39582388409697,61.20556117581187,58.430198695025744,NaN,NaN,NaN,NaN
2023-07-31,28.46,28.75,27.9515,28.41,17.587799999999994,15.876299999999981,26.178888888888892,19.480700000000013,23.58180000000001,37007398,25.75349999999998,29.137381055829774,22.36961894417019,0.05809102542997491,1.080405900919775,1.0223148754898002,93.0327868852459,82.41141485050761,61.91285318286834,58.796806354134716,NaN,NaN,NaN,NaN
2023-08-01,27.81,28.72,27.436,28.53,17.712799999999994,15.98224999999998,26.316666666666674,19.607900000000015,23.799000000000007,37641839,25.90549999999998,29.495226869833495,22.315773130166463,0.11739104807617573,1.1690536855850198,1.051662637508844,95.49180327868855,93.64481911220331,62.254897568279084,58.84367048939901,NaN,NaN,NaN,NaN
2023-08-02,27.5,27.5,24.79,25.28,17.816199999999995,16.06864999999998,26.426666666666673,19.71160000000001,23.9568,81886537,25.976999999999983,29.45535075862166,22.498649241378306,-0.06858989421005202,0.965925269746279,1.034515163956331,28.893442622950825,72.47267759562841,49.33295151400375,57.627717457975656,NaN,NaN,NaN,NaN
